# Structural test suites — suites whose assertions read repo source/doc text.
# GENERATED by scripts/classify-tests.ts; freshness-checked in verify.
# Fix misclassifications in the classifier, never by hand-editing rows.
# Columns: file	suite	cases	detector
test/agent-register.test.ts	PGLite integration (pre-flight → tx → audit → exchange)	3	readFileSync
test/agent-register.test.ts	resolvePreset	7	readFileSync
test/agent-register.test.ts	structural guards	2	readFileSync
test/apply-migrations.test.ts	failed migration prints phase detail (#921)	1	readFileSync
test/apply-migrations.test.ts	resolveSchemaBehind (#1530)	5	readFileSync
test/apply-migrations.test.ts	runApplyMigrations exit codes (v0.36.1.x #1062)	1	readFileSync
test/archived-source-scoping.test.ts	#3880 structural pins — all-source local_path selections filter archived	2	readFileSync
test/asymmetric-encoding-contract.test.ts	Source-text contract (cheap belt + suspenders)	3	readFileSync
test/auto-link-targeted-probe-2544.test.ts	#2544 — auto-link behavior through put_page (targeted probe)	6	readFileSync
test/autopilot-auto-drain-wiring.test.ts	autopilot auto-drain wiring	8	readFileSync
test/autopilot-cycle-failure-classification.test.ts	autopilot cycle-failure classification — only 'failed' trips the circuit breaker	2	readFileSync
test/autopilot-cycle-failure-classification.test.ts	runPhaseOrphans ratio threshold — no more absolute count > 20	3	readFileSync
test/autopilot-fanout-wiring.test.ts	autopilot.ts ↔ dispatchPerSource wiring	13	readFileSync
test/autopilot-install.test.ts	autopilot install — reload-safety (#2608)	1	readFileSync
test/autopilot-install.test.ts	autopilot showStatus — wrapper-path detection	1	readFileSync
test/autopilot-install.test.ts	autopilot wiring: chat-unavailable boot warning (#2608)	1	readFileSync
test/autopilot-install.test.ts	autopilot wrapper script — bun PATH export (v0.42.x regression)	1	readFileSync
test/autopilot-install.test.ts	autopilot wrapper script — env source order (v0.36.1.x #966)	1	readFileSync
test/autopilot-install.test.ts	autopilot wrapper script — gbrain-owned env file (#2608)	5	readFileSync
test/autopilot-install.test.ts	autopilot wrapper script — key sourcing (#2608)	1	readFileSync
test/autopilot-pause-marker.test.ts	pause marker fences minion job pickup	1	readFileSync
test/autopilot-self-upgrade.test.ts	autopilot self-upgrade static-shape regressions	4	readFileSync
test/autopilot-shutdown-engine-close.test.ts	autopilot.ts graceful engine shutdown (#1872)	6	readFileSync
test/autopilot-supervisor-wiring.test.ts	autopilot.ts ↔ ChildWorkerSupervisor wiring	7	readFileSync
test/backlinks-job-default.test.ts	backlinks Minion handler — empty payload defaults to check, not fix	3	readFileSync
test/book-mirror.test.ts	gbrain book-mirror — source file invariants	7	readFileSync
test/bootstrap-codex-door.test.ts	Codex door — rendered AGENTS.md pull protocol (Gate 3)	2	readFileSync
